#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
83000,83.0,-643825.672066,301.563574324,1.00166159281,18.5
84000,84.0,-643673.524616,298.533326171,1.00238019858,18.5
85000,85.0,-642998.018022,298.228073211,1.00453132622,18.5
86000,86.0,-642001.522844,299.126000969,0.999616881327,18.5
87000,87.0000000001,-643982.629352,301.300489513,0.999033804509,18.5
88000,88.0000000001,-644418.610063,300.157555322,1.00146531026,18.5
89000,89.0000000001,-644747.093357,300.364535276,1.00092210403,18.4
90000,90.0000000001,-643325.720117,298.88644108,1.00328406726,18.4
91000,91.0000000001,-643842.588377,299.875845874,0.997928049995,18.4
92000,92.0000000001,-643229.569805,299.103845233,1.00163756491,18.4
93000,93.0000000001,-643318.799167,300.562906337,1.00191219753,18.4
94000,94.0000000001,-643218.006806,299.222920965,0.999186024419,18.4
95000,95.0000000001,-642866.451746,301.31141562,0.998652953819,18.4
96000,96.0000000001,-642851.919434,298.165790798,1.00312353508,18.4
97000,97.0000000001,-644841.3875,297.233208583,1.0012961557,18.4
98000,98.0000000001,-642801.184632,300.204817334,0.99918215208,18.4
99000,99.0000000001,-643554.463038,299.639984,1.00082445082,18.4
100000,100.0,-643806.8817,297.791310577,1.00473676292,18.4
101000,101.0,-643489.871933,299.393889289,1.0029339126,18.4
102000,102.0,-644258.189654,299.857084844,1.00237218462,18.4
103000,103.0,-643922.091476,297.937096036,1.00205735598,18.4
104000,104.0,-643139.503942,301.130427712,1.00320894823,18.4
105000,105.0,-643899.391031,297.932636304,1.00015611382,18.4
106000,106.0,-643803.948592,298.566925498,1.001147053,18.4
107000,107.0,-644064.413554,299.623285901,1.00290947743,18.4
108000,108.0,-643035.678357,298.161653165,1.00059180206,18.4
109000,109.0,-643411.469499,300.741870272,1.00166041842,18.4
110000,110.0,-642768.991785,299.889903168,1.0027545028,18.4
111000,111.0,-641781.11946,301.506488114,0.998668059373,18.4
112000,112.0,-643105.051279,303.394654679,0.99709603174,18.4
113000,113.0,-642393.671048,300.587660083,0.997853474984,18.4
114000,114.0,-644074.733786,300.49307509,1.00171696756,18.4
115000,115.0,-643791.342333,299.579506865,1.0003422448,18.4
116000,116.0,-643345.274863,301.075687516,1.00493483626,18.4
117000,117.0,-642444.908974,302.791505313,1.00054910362,18.4
118000,118.0,-644611.645655,297.981329413,1.0011543372,18.4
119000,119.0,-643786.32738,299.618861103,1.00333617964,18.4
120000,120.0,-643285.07675,297.794316445,1.0052212688,18.4
121000,121.0,-643457.041574,300.811626937,1.00358125986,18.4
122000,122.0,-643340.061123,300.003652887,1.00259382545,18.4
123000,123.0,-643878.339065,300.134638919,1.00304243457,18.4
124000,124.0,-641554.836997,297.862802417,0.999662917797,18.4
125000,125.0,-643884.100042,299.67192652,1.00305789176,18.4
126000,126.0,-643251.803114,299.268881338,1.00044398898,18.4
127000,127.0,-643370.609143,302.811346813,1.00085291209,18.4
128000,128.0,-644196.073671,302.007271226,0.999531815224,18.4
129000,129.0,-642983.896231,299.525219636,0.998164340729,18.4
130000,130.0,-643049.168627,301.292033225,1.00371601724,18.4
131000,131.0,-643501.306157,300.234986097,1.00305471513,18.4
132000,132.0,-645373.837614,300.932898139,0.999373994321,18.4
133000,133.0,-644727.530056,299.542499567,1.00203388876,18.4
134000,134.0,-644154.631587,298.158201391,1.0019721939,18.4
135000,135.0,-643758.909431,301.62506108,1.00755405794,18.4
136000,136.0,-644312.035761,300.83766765,1.00273510122,18.4
137000,137.0,-643391.272983,300.010723269,1.00443997058,18.4
138000,138.0,-643496.380189,299.71222176,1.00500801237,18.4
139000,139.0,-643730.177829,300.979868808,1.00504645591,18.4
140000,140.0,-643522.218543,302.545976048,1.00141968109,18.4
141000,141.0,-642634.528476,301.138356984,0.997747955256,18.4
142000,142.0,-642555.423901,298.43425806,0.999139354539,18.4
143000,143.0,-643749.907324,300.25526446,1.00325786204,18.4
144000,144.0,-643500.690884,301.750663467,1.00244565547,18.4
145000,145.0,-642518.512688,297.85790935,1.00171001998,18.4
146000,146.0,-643672.242248,300.346501358,1.00206607234,18.4
147000,147.0,-641933.37368,301.094641577,1.00211471456,18.4
148000,148.0,-643011.079923,299.077711224,1.00459672416,18.4
149000,149.0,-640900.863666,302.619666865,1.00320298183,18.4
